"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2023","DATCP","Total distillate fuel oil, biodiesel, and renewable diesel consumption","Thousand barrels",627,15803,32483
"2023","ELVHN","Total electric vehicle (EV) light-duty stocks","Thousands of registered vehicles",11.1,96.6,104.9
"2023","EVCHP","Total electric vehicle charging locations","Number",400,1836,1650
"2023","LOTCB","Total electrical system energy losses","Billion Btu",55282,324821,731869
"2023","LOTXB","Total electrical system energy losses allocated to the end-use sectors","Billion Btu",55282,324821,731869
"2023","TETXD","Total end-use energy average price","Dollars per million Btu",32.28,28.85,23.81
"2023","TNTCB","Total end-use energy consumption","Billion Btu",79949,857760,1703396
"2023","TETXV","Total end-use energy expenditures","Million dollars",2545.6,23652.7,39434.2
"2023","TETXB","Total end-use sector energy consumption","Billion Btu",135231,1182581,2435266
"2023","TETCE","Total energy CO2 emissions for all sectors","Million metric tons CO2",2.5,48.6,94.6
"2023","TECCE","Total energy CO2 emissions for the commercial sector","Million metric tons CO2",0.9,5,5.7
"2023","TEEIE","Total energy CO2 emissions for the electric power sector","Million metric tons CO2",0,8.3,21.4
"2023","TEICE","Total energy CO2 emissions for the industrial sector","Million metric tons CO2",0,2.5,10.8
"2023","TERCE","Total energy CO2 emissions for the residential sector","Million metric tons CO2",0.6,5.3,5.7
"2023","TEACE","Total energy CO2 emissions for the transportation sector","Million metric tons CO2",1,27.5,51
"2023","TETCD","Total energy average price","Dollars per million Btu",32.28,28.85,23.81
"2023","TECCD","Total energy average price in the commercial sector","Dollars per million Btu",34.79,26.85,22.15
"2023","TEICD","Total energy average price in the industrial sector","Dollars per million Btu",21.53,19.41,11.68
"2023","TERCD","Total energy average price in the residential sector","Dollars per million Btu",30.07,33.49,32.23
"2023","TEACD","Total energy average price in the transportation sector","Dollars per million Btu",30.69,29.11,26.53
"2023","TETCB","Total energy consumption","Billion Btu",135231,1182581,2435265
"2023","TECCB","Total energy consumption in the commercial sector","Billion Btu",80543,338357,772658
"2023","TEEIB","Total energy consumption in the electric power sector plus net imports of electricity into the United States","Billion Btu",84,311961,752421
"2023","TEICB","Total energy consumption in the industrial sector","Billion Btu",4288,83304,395353
"2023","TERCB","Total energy consumption in the residential sector","Billion Btu",33044,341590,509635
"2023","TEACB","Total energy consumption in the transportation sector","Billion Btu",17357,419330,757619
"2023","TETPB","Total energy consumption per capita","Million Btu",196.8,190.2,278.8
"2023","TECPB","Total energy consumption per capita in the commercial sector","Million Btu",117.2,54.4,88.5
"2023","TEIPB","Total energy consumption per capita in the industrial sector","Million Btu",6.2,13.4,45.3
"2023","TERPB","Total energy consumption per capita in the residential sector","Million Btu",48.1,54.9,58.3
"2023","TEAPB","Total energy consumption per capita in the transportation sector","Million Btu",25.3,67.4,86.7
"2023","TETGR","Total energy consumption per dollar of real gross domestic product (GDP)","Thousand Btu per chained (2017) dollar",0.93,2.8,4.08
"2023","TETCV","Total energy expenditures","Million dollars",2545.6,23652.7,39434.2
"2023","TECCV","Total energy expenditures in the commercial sector","Million dollars",1424.6,4902.1,7989.9
"2023","TEICV","Total energy expenditures in the industrial sector","Million dollars",71.1,1226.4,3447.3
"2023","TERCV","Total energy expenditures in the residential sector","Million dollars",580.3,6203.5,8244.2
"2023","TEACV","Total energy expenditures in the transportation sector","Million dollars",469.7,11320.7,19752.8
"2023","TETPV","Total energy expenditures per capita","Dollars",3703.7,3804.5,4514.7
"2023","TEPFB","Total energy used as process fuel and other consumption that has no direct fuel costs","Billion Btu",56374,362822,778957
"2023","TERFB","Total energy used as refinery fuel and intermediate products","Billion Btu",0,0,0
"2023","TNCSB","Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",40951,182588,360773
"2023","TNISB","Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",3300,63168,295118
"2023","TNRSB","Total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",19301,185246,255766
"2023","TNASB","Total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",15306,388877,744676
"2023","TNSCB","Total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",78857,819880,1656334
"2023","PMTCE","Total petroleum, excluding biofuels, CO2 emissions for all sectors","Million metric tons CO2  ",1.1,29.7,55.7
"2023","PMCCE","Total petroleum, excluding biofuels, CO2 emissions for the commercial sector","Million metric tons CO2",0.1,1.3,1.8
"2023","PMEIE","Total petroleum, excluding biofuels, CO2 emissions for the electric power sector","Million metric tons CO2",0,0.1,0.1
"2023","PMICE","Total petroleum, excluding biofuels, CO2 emissions for the industrial sector","Million metric tons CO2",0,0.9,1.8
"2023","PMRCE","Total petroleum, excluding biofuels, CO2 emissions for the residential sector","Million metric tons CO2",0,1.4,1.6
"2023","PMACE","Total petroleum, excluding biofuels, CO2 emissions for the transportation sector","Million metric tons CO2",0.9,26,50.4
"2023","TEPRB","Total primary energy production","Billion Btu",1825,217026,834458
"2023","UOICB","Unfinished oils consumed by the industrial sector","Billion Btu",0,0,0
"2023","UOICP","Unfinished oils consumed by the industrial sector","Thousand barrels",0,0,0
"2023","USICB","Unfractionated streams consumed by the industrial sector (through 1983)","Billion Btu",0,0,0
"2023","USICP","Unfractionated streams consumed by the industrial sector (through 1983)","Thousand barrels",0,0,0
"2023","WSEIB","Waste consumed by the electric power sector","Billion Btu",0,5873,6003
"2023","WSCCB","Waste energy consumed by the commercial sector","Billion Btu",1014,1,8228
"2023","WSICB","Waste energy consumed by the industrial sector","Billion Btu",0,302,2574
"2023","WSTCB","Waste energy total consumption","Billion Btu",1014,6176,16805
"2023","WSGBP","Waste generating units net summer capacity in all sectors","Thousand kilowatts",12,137,299
"2023","WZEIB","Waste, excluding biodiesel, consumed by the electric power sector","Billion Btu",0,5873,6002
"2023","WZTCB","Waste, excluding biodiesel, total consumption","Billion Btu",1014,6176,16804
"2023","WXICP","Waxes consumed by the industrial sector","Thousand barrels",0,14,27
"2023","WXICB","Waxes consumed by the industrial sector","Billion Btu",0,79,152
"2023","WXICV","Waxes expenditures in the industrial sector","Million dollars",0,2.9,5.5
"2023","WXICD","Waxes price in the industrial sector","Dollars per million Btu",0,36.45,36.45
"2023","WYCCP","Wind electricity net generation in the commercial sector","Million kilowatthours",0,0,0
"2023","WYEGP","Wind electricity net generation in the electric power sector","Million kilowatthours",0,482,47
"2023","WYICP","Wind electricity net generation in the industrial sector","Million kilowatthours",0,0,0
"2023","WYTCP","Wind electricity total net generation","Million kilowatthours",0,482,47
"2023","WYCCB","Wind energy consumed by the commercial sector","Billion Btu",0,0,0
"2023","WYICB","Wind energy consumed by the industrial sector","Billion Btu",0,0,0
